order,retention_index,quantmass,id,KEGG,PubChem,label
1,246015,116,241385,C00041,5950,alanine
2,500046,292,486020,"","",threonic acid 2
3,486399,156,199593,C01879,7405,oxoproline
4,713542,313,199173,C00249,985,palmitic acid
5,660539,319,572070,"","",glucose 2
6,315295,144,492765,"","",valine
7,227487,177,202167,C00160,757,glycolic acid
8,787358,117,199195,C01530,5281,stearic acid
9,490829,292,563314,"","",isothreonic acid
10,804722,218,579005,"","",cystine
11,784510,294,267712,C07588,10253,4-hydroxyhippuric acid NIST
12,368041,174,199588,C00037,750,glycine
13,471274,205,200514,C00503,222285,erythritol
14,566786,217,330976,C00379,6912,xylitol
15,730534,441,304993,C00366,1175,uric acid (mix spec with myo-inositol)
16,781209,202,321686,C00078,6305,tryptophan
17,260119,146,378345,C00192,787,hydroxylamine
18,685195,202,223508,C00954,802,indole-3-acetate
19,575571,217,199230,C00474,827,ribitol
20,456959,247,202205,C00815,1081,citramalic acid
21,256143,102,199597,C00037,750,glycine TMS1x
22,506359,129,214409,C02630,43,2-hydroxyglutaric acid
23,670802,218,381469,C00082,6057,tyrosine mz147 missing
24,391397,204,227962,C00065,5951,serine
25,616681,273,232087,C00158,311,citric acid
26,702391,353,203224,C00385,1188,xanthine
27,330851,171,367910,C00086,1176,urea
28,830244,259,281593,C02494,27476,1-methyladenosine
29,546892,217,202065,C00259,229,arabinose
30,650726,160,219881,C00031,107526,glucose 1
31,520800,109,368015,C03761,1662,3-hydroxy-3-methylglutaric acid
32,410027,117,471756,C00188,6288,threonine
33,260613,147,438058,"","",oxalic acid
34,723859,202,243111,C00645,65150,N-acetyl-D-mannosamine major
35,215600,191,367966,C00186,612,lactic acid
36,591357,299,199419,C00093,754,glycerol-alpha-phosphate
37,797156,218,239859,C00491,67678,cystine minor
38,497599,123,300330,n/a,80642,5-hydroxymethyl-2-furoic acid NIST
39,278651,191,267654,C01089,92135,3-hydroxybutanoic acid mix spec
40,461034,233,247180,C00149,222656,malic acid
41,663816,156,200530,C00047,5962,lysine
42,569799,204,199201,n/a,2724705,levoglucosan
43,764543,202,223518,C02043,92904,indole-3-lactate
44,1027763,259,234600,n/a,65095,1-methylinosine NIST
45,399163,117,201810,C01601,8158,pelargonic acid
46,511031,171,368038,"","",glycocyamine major
47,340837,174,203219,C00189,700,ethanolamine
48,669361,319,437279,C00794,5780,sorbitol
49,572600,307,417461,C01904,94154,arabitol
50,310750,131,218773,n/a,98009,2-hydroxyvaleric acid
51,693140,333,211990,C00257,10690,gluconic acid
52,467314,217,202661,n/a,169019,threitol 2
53,635512,105,275368,C01586,464,hippuric acid 1TMS
54,541685,296,308448,C00642,127,4-hydroxyphenylacetic acid
55,421227,158,319882,C00489,743,glutaric acid
56,638631,307,199188,C00095,5984,fructose 1
57,624620,384,267907,C01161,547,"3,4-dihydroxyphenylacetic acid"
58,344674,314,199165,C00009,1004,phosphoric acid
59,704838,318,367907,"","",conduritol betat epoxide minor
60,277000,142,200952,n/a,12025,butyrolactam NIST
61,915457,271,202121,C00089,5988,sucrose
62,616685,245,199172,C00311,5318532,isocitric acid
63,640798,307,335365,C00095,5984,fructose 2
64,277690,152,228707,n/a,7971,3-hydroxypyridine
65,420134,255,236696,C00178,1135,thymine
66,663898,154,227741,C00135,6274,histidine
67,577861,117,205102,C01018,94270,fucose 1 + rhamnose 2
68,956355,204,200508,n/a,160514,cellobiotol
69,700902,180,268188,C00785,736715,urocanic acid
70,553058,307,203164,C00121,5779,ribose
71,390988,245,199198,C00122,444972,fumaric acid
72,452732,174,267806,C05145,64956,3-aminoisobutyric acid
73,370518,247,199210,C00042,1110,succinic acid
74,665530,103,241287,"","",mannitol mix spec with histidine
75,501345,220,200918,C00097,594,cysteine
76,264492,145,300535,n/a,95433,2-hydroxy-2-methylbutanoic acid
77,534894,102,225837,C00898,875,tartaric acid
78,634218,255,242548,C00296,6508,quinic acid
79,699250,333,202830,C00818,33037,saccharic acid
80,537760,218,199798,C00079,6140,phenylalanine
81,548166,158,203293,C01042,65065,N-acetylaspartic acid 1
82,584612,117,205106,C01019,94270,fucose
83,595333,117,200501,n/a,151266,6-deoxyglucitol NIST
84,385903,99,199600,C00106,1174,uracil
85,502434,115,199603,C00791,588,creatinine
86,803554,204,225851,C05401,656504,glycerol-3-galactoside
87,725431,324,300349,C07588,10263,2-hydroxyhippuric acid
88,628359,287,267732,C02225,439681,methylcitrate
89,618133,265,410816,C00262,790,hypoxanthine mix spec with ornithine
90,645946,220,280560,C00198,7027,gluconic acid lactone
91,621606,157,323374,C00327,9750,citrulline
92,736220,319,199328,C00645,65150,N-acetyl-D-mannosamine 3
93,275813,170,240643,n/a,12665,5-aminovaleric acid lactame
94,778003,290,267648,C05635,1826,3-hydroxy-3-indoleacetic acid
95,422939,103,211437,n/a,18302,2-deoxyerythritol NIST
96,553050,173,231908,C00310,5289590,xylulose NIST
97,473092,111,308119,C06104,196,adipic acid
98,551682,261,268566,C02360,193530,2-hydroxyadipic acid
99,652000,318,214408,n/a,119054,"1,2-anhydro-myo-inositol NIST"
100,581298,296,308195,C03722,1066,quinolinic acid
101,390395,117,208880,n/a,150929,2-deoxytetronic acid NIST
102,692399,292,202883,C00880,128869,galactonic acid
103,610175,317,225382,C08261,2266,azelaic acid
104,214259,177,272666,C02457,10442,"propane-1,3-diol NIST"
105,680828,333,233104,n/a,19770757,hexuronic acid
106,554295,95,300332,n/a,21863,furoylglycine NIST
107,407645,147,200446,n/a,5325915,erythronic acid lactone
108,544924,335,232639,"",22987624,2-deoxyribonic acid
109,459578,179,231101,C01983,11914,(s)-(+)-mandelic acid
110,338714,179,386128,C00180,243,benzoic acid mix spec
111,373972,189,228009,C00258,439194,glyceric acid
112,269975,177,232649,C01013,68152,3-hydroxypropionic acid
113,604454,100,199628,C00346,1015,phosphoethanolamine
114,746377,103,211596,C03136,439281,N-acetyl-D-hexosamine
115,967673,236,213373,C00170,439176,5'-deoxy-5'-methylthioadenosine
116,495373,239,368054,C01108,1057,pyrogallol
117,407645,147,200446,n/a,5325915,erythronic acid lactone.1
118,384445,292,238007,n/a,13120900,"2,3-dihydroxybutanoic acid NIST"
119,338606,132,268705,C00065,5951,serine minor
120,666401,333,353273,C00191,94715,glucuronic acid mix spec
121,863982,174,200896,C05659,1833,5-methoxytryptamine
122,540208,217,323629,n/a,65550,lyxose minor
123,476542,100,200518,C00152,236,asparagine dehydrated
124,507734,198,200425,C00026,51,alpha ketoglutaric acid
125,917818,236,211944,C00212,60961,adenosine
126,327474,110,200341,C00013,1023,pyrophosphate
127,431950,248,227997,C00099,239,beta-alanine
128,464937,100,223933,C00802,67126,parabanic acid NIST
129,1124267,217,200576,"",16219508,inulotriose 1
130,601231,267,322210,C05582,1738,homovanillic and 4-hydroxymandelic acid - mixed spectrum
131,527101,246,227977,C00025,33032,glutamic acid
